Object_ID,User_ID,User_Profile,User_Name,User_Alias,Language,Latitude,Longitude,Area,Country,State,County,Geoid,Time_Created,Hashtags,Tweet
2.16688E+17,49877085,"Official Twitter Page of Kyle Armstrong, owner of Trax Racing Photos, owner of Trax Motorsports #44/#53 kart operation",Kyle Armstrong,KArmstrong53,en,36.92356,-81.24437,271745811.6,USA,Virginia,197,1400000US51197050200,6/23/2012 20:22,KentuckyColonel ,Steve Francis is everywhere #KentuckyColonel  @ Wythe Raceway http://t.co/vUWtwuPY
2.16755E+17,95274680,,Ryan Dedios,RDpinoy,en,36.96004622,-84.093727,4666703.281,USA,Kentucky,125,1400000US21125971002,6/24/2012 0:50,kfc kentucky corbin food restaurant original sandersc ,The Original #kfc #kentucky #corbin #food #restaurant #original #sandersc  @ Colonel Sanders Cafe and Museum http://t.co/ZL4s2kNq
2.27889E+17,111428431,"From Owensboro, Kentucky but I travel the world racing Moto GP.",Nicky Hayden,NickyHayden69,en,33.86155408,-118.3164156,53223522.82,USA,California,37,1400000US06037650200,7/24/2012 18:12,,Kentucky kid &amp; Kentucky's Colonel Sanders talking a bit of fried chicken and Moto GP. Thanks Sony for the hospitality http://t.co/mpUcRniS
2.19521E+17,18926155,"perpetually inquisitive, lifelong technologist, travel lover, eclectic, resident funny guy, organic, steeped in tea, oenophile, EDM, sports fanatic, racefan",Trevor Woodbury,trevorwoodbury,en,40.1293,-82.996313,649091132.5,USA,Ohio,49,1400000US39049007044,7/1/2012 16:02,,"My Grandfather, a fellow Kentucky Colonel, presented me with HIS Colonel cup for my Birthday. So honored!!! http://t.co/VqFzCi9U"
2.25424E+17,587749592,Twatting is a lot of fun.,Chris C,thebladecc527,en,40.72531736,-73.49214329,0,USA,New York,59,1400000US36059409000,7/17/2012 22:58,,Colonel :-P (@ Kentucky Fried Chicken) http://t.co/frcaSs8H
2.29619E+17,15319736,"photographer, storyteller, artist, dreamer, tea drinker, beach lover, blogger, traveler, adventurer.",The Moosh,loonachic,en,26.93394116,-80.13749046,59243611.22,USA,Florida,99,1400000US12099000213,7/29/2012 12:47,,what r the 11 herbs and spices in colonel sanders kentucky fried chicken recipe?
2.37752E+17,237420072,Don't Ask Questions ! Jus Follow Me And You'll See What I'm About =) #StraightUp #Est1995 #2K13 #TweetGameCrazy,Jesse Jones,KidBornIn95,en,45.50979461,-122.433255,57669826.1,USA,Oregon,51,1400000US41051010100,8/20/2012 23:23,,OG Colonel !  @ KFC - Kentucky Fried Chicken http://t.co/ZDoLcWNt
2.40993E+17,17791684,"Music, arts & writing; sporting lifestyle in SoCal","Bill Kennedy, Yo!",BillKennedyYo,en,32.73643235,-117.1750689,0,USA,California,73,1400000US06073006100,8/29/2012 22:03,,Kentucky Colonel &amp; Blueberry Spritzer .. more happy hour . (@ Starlite) [pic]: http://t.co/x7kjrDWs
2.45296E+17,239578269,"Stop tweet watching, so I know its real. #TeamTatted #OKC #WarEagle",SellersBlaine,BlaineSellers,en,31.426121,-85.3175349,1.81929E+11,USA,Alabama,67,1400000US01067030400,9/10/2012 19:01,,Met colonel sanders wife in the state of Kentucky
2.51759E+17,822041899,,Matthew Jemilo,runjemirun,en,38.30162501,-85.54752708,194499239.2,USA,Kentucky,111,1400000US21111010319,9/28/2012 15:02,stereotypes ,Made it to Kentucky! Now I just gotta find the colonel... #stereotypes
2.58588E+17,283694754,Just a guy with big dreams and they wanna diminish 'em. #⃣IAMBK✊ #⃣HumbleBeginings #CollegeBoy,Azie Faison,xMrUncleDaddyJr,en,41.50726846,-81.51373529,12164507.17,USA,Ohio,35,1400000US39035185203,10/17/2012 11:17,,"Met Colonel Sanders wife in the state of Kentucky, she said I'll fry some chicken if you just fuck me."
2.61708E+17,34788962,Hello world!!,Ty Chen,alittlebitazn,en,33.91855944,-117.2479418,133181704.1,USA,California,65,1400000US06065042511,10/26/2012 1:58,,I want Colonel Sanders' Kentucky Fried Chicken.
2.68122E+17,394354917,"est.  ➊➒➒➎  i dream bigger than i live , so go on and light it ! #teamfollowback",Seth Gilbert,gilbert_seth,en,39.5878213,-84.3264096,1.59279E+11,USA,Ohio,165,1400000US39165030102,11/12/2012 17:42,,"@KsTrAsDaLeGeND I'll be taking my talents to the hills of Richmond Kentucky next year , follow in the footsteps of colonel sanders at eku ."
2.83426E+17,21948523,Instagram:lunchnewman #soulprocrew #3thehardway #thelonelyheartsclub #teamcoa,Dutch Newman ,dutchnewmanis,en,39.10627443,-94.5453314,146637629.5,USA,Missouri,95,1400000US29095000900,12/24/2012 23:15,,The colonel lives!!!!  @ KFC - Kentucky Fried Chicken http://t.co/9S9OMMBD
2.8407E+17,419897847,"When I'm not clipping the hooves of my unicorn herd, I'm usually at college studying.",Tyler Smash Turner,TimmySmash23,en,37.4143031,-88.8708815,5932907.27,USA,Illinois,87,1400000US17087977800,12/26/2012 17:54,,"I met colonel Sanders wife in the state of Kentucky, she said I brought some chicken if you just fuck me"
2.80455E+17,398307307,Bacon cheeseburgers and gyros are my life. La Croix is my savior. ,Randall ,FrahmBahmb,en,40.1119963,-88.23100175,2.3684E+11,USA,Illinois,19,1400000US17019000301,12/16/2012 18:32,sponsoredbyKFC ,I didn't know that eastern kentucky had colonel sanders as their mascot #sponsoredbyKFC
2.85105E+17,34986102,"Born in Kentucky, Educated in Florida,Living in Ohio! I get around ;)",Christopher Wilson,ChrisTHEBLUEONE,en,35.3894367,-99.4312927,8914032.738,USA,Oklahoma,9,1400000US40009966200,12/29/2012 14:28,TEXAS ,"HAPPY BIRTHDAY #TEXAS,Thank GOD for SAM HOUSTON,COLONEL TRAVIS, David Crockert of Tennessee and JIM BOWIE of KENTUCKY :) DAMN CARPETBAGGERS!"
2.89431E+17,11388132,"law professor, reformer.",Lessig,lessig,en,38.187018,-84.875262,39014464.47,USA,Kentucky,73,1400000US21073070402,1/10/2013 12:59,,Coolest honorarium ever - I'm a KY Colonel after speaking to the KY legislature. (at Kentucky State Capitol) [pic] — http://t.co/R9G9F4JZ
2.99411E+17,285359495,SITUATION CRITICAL,Will.,TR1LLW1LL,en,37.2691745,-119.306607,9.64617E+11,USA,California,19,1400000US06019006402,2/7/2013 1:55,,@youngbeefsteak TERRRRRY JONESSSS IMA KENTUCKY COLONEL IN THE VIRGINIA MILITIA
3.05512E+17,89997441,Jewin it up in the 305.,Adam Vergara,On_thA_Verg,en,25.7557905,-80.29734681,1832908.865,USA,Florida,86,1400000US12086005904,2/23/2013 21:58,Kentucky Mizzou ,Anyone else see Colonel Sanders give #Kentucky players high fives on the way into the locker? #Mizzou
3.04693E+17,23245687,,Dre Birskovich,dreshmae,en,36.533245,-121.8485458,213855740.1,USA,California,53,1400000US06053011602,2/21/2013 15:43,followyournose ,Kentucky Colonel Mint vs. Lemon Balm. Looks can be deceiving! #followyournose @ Earthbound Organic Farms http://t.co/mnMXrNiB7J
